,Quarter,County,Price_count,Price_min,Price_mean,Price_max,Price_median,Price_25p,Price_75p,Price_90p,immigrants,private_households,persons_private_households,household_values,investment_country,gdp_growth,gdp_growth_based,gdp_values,population,infliation,infliation_based,unemployment,unemployment_based
86,2010-Q4,Kildare,275,13750,237052.83272727273,700000,220000.0,160000.0,284250.0,382799.99999999994,41800.0,70763,208522,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
87,2010-Q4,Kilkenny,96,10000,221592.51041666666,5141700,148500.0,101819.5,201250.0,281250.0,41800.0,33679,94342,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
88,2010-Q4,Laois,88,30000,153970.81818181818,620000,124685.0,85000.0,183034.25,278000.0,41800.0,28020,79751,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
89,2010-Q4,Leitrim,44,25000,133614.93181818182,275000,135541.5,73750.0,181250.0,219841.9,41800.0,12308,31556,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
90,2010-Q4,Limerick,205,25000,186404.67804878048,1570000,166750.0,112500.0,212500.0,285600.0,41800.0,69649,187560,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
91,2010-Q4,Longford,40,20000,125538.9,280000,120000.0,78750.0,158500.0,200600.0,41800.0,14453,38986,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
92,2010-Q4,Louth,148,25000,165737.31756756757,561000,146750.0,113500.0,205000.0,258250.00000000003,41800.0,43972,122339,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
93,2010-Q4,Mayo,123,14000,151086.86178861788,693200,145000.0,99000.0,186000.0,256600.0,41800.0,48070,128492,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
94,2010-Q4,Meath,215,15000,218090.21860465116,1150000,190000.0,140000.0,250000.0,349400.0,41800.0,62201,184336,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
95,2010-Q4,Monaghan,65,20000,142399.6923076923,405000,125000.0,100000.0,160000.0,253000.0,41800.0,21264,60473,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
96,2010-Q4,Offaly,72,23225,143435.66666666666,345000,140250.0,81500.0,191250.0,237200.0,41800.0,26750,76274,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
97,2010-Q4,Roscommon,77,9142,129488.88311688312,568550,110132.0,70000.0,160352.0,226159.0000000001,41800.0,23672,63311,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
98,2010-Q4,Sligo,98,20000,160707.3469387755,1324505,143500.0,98500.0,189856.75,250000.0,41800.0,24525,63667,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
99,2010-Q4,Tipperary,169,7618,151355.36094674555,410000,140000.0,91800.0,196000.0,273540.0000000002,41800.0,58497,158089,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
100,2010-Q4,Waterford,150,6000,174329.02,616740,153750.0,105726.0,212062.5,315218.1,41800.0,42335,112261,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
101,2010-Q4,Westmeath,104,45000,157901.75961538462,600000,137352.0,104300.75,172196.0,227000.00000000003,41800.0,30739,84869,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
